Experiment,Test Loss,Test Accuracy,Computation Time,CleanName
base_cifar10,0.0022695525134112803,0.952520241403276,634.8053503036499,Base
brightness_cifar10,0.006336534315732064,0.817243460257342,631.7812497615814,Brightness
color_jitter_cifar10,0.004417500449759755,0.8734273591618629,699.4451420307159,Color Jitter
contrast_cifar10,0.004984427418464878,0.8541387270210655,634.4802510738373,Contrast
custom_augmentation_1_cifar10,0.014712707661566841,0.6327195733216158,653.6566472053528,Custom Augmentation 1
cutout_cifar10,0.002399566343089767,0.9491226175788102,635.7267951965332,Cutout
flipping_cifar10,0.03836696284117213,0.388827776832945,630.002692937851,Flipping
gaussian_noise_cifar10,0.0025136531212005264,0.9438060138635574,621.9647588729858,Gaussian Noise
random_crop_cifar10,0.016299054121515555,0.6802179498277652,622.3786408901215,Random Crop
rotation_cifar10,0.005440068650682261,0.8510461510366695,649.1224765777588,Rotation
scaling_cifar10,0.0027862338298801216,0.9344874628030571,650.7821524143219,Scaling
shearing_cifar10,0.004483613565231964,0.8862783711427337,650.2275762557983,Shearing
